File,Source Line,Destination Line
/src/find/pred.c,918,918
/src/find/pred.c,919,919
/src/find/pred.c,2184,2185
/src/find/pred.c,2263,2264
/src/find/pred.c,914,914
/src/find/pred.c,916,916
/src/find/pred.c,910,910
/src/find/pred.c,2434,2435
/src/find/pred.c,2034,2034
/src/find/pred.c,2394,2395
/src/find/pred.c,2199,2200
/src/find/pred.c,2034,2034
/src/find/pred.c,1359,1359
/src/find/pred.c,2317,2318
/src/find/pred.c,2316,2317
/src/find/pred.c,2200,2201
/src/find/pred.c,912,912
/src/find/pred.c,909,909
/src/find/pred.c,2117,2116
/src/find/pred.c,920,920
/src/find/pred.c,915,915
/src/find/pred.c,2117,2116
/src/find/pred.c,2026,2026
/src/find/pred.c,2026,2026
/src/find/pred.c,911,911
/src/find/pred.c,913,913
/src/find/pred.c,917,917
/src/find/pred.c,2434,2435
/src/gnulib-git/gnulib/lib/gettext.h,244,244
/src/gnulib-git/gnulib/lib/gettext.h,198,198
/src/gnulib-git/gnulib/lib/mkstemp-safer.c,31,31
/src/gnulib/lib/regexec.c,756,756
/src/gnulib/lib/regexec.c,3081,3081
/src/gnulib/lib/regexec.c,1701,1701
/src/gnulib/lib/regexec.c,3131,3131
/src/gnulib/lib/regexec.c,845,845
/src/gnulib/lib/regexec.c,4029,4029
/src/gnulib/lib/regexec.c,3086,3086
/src/gnulib/lib/regexec.c,1701,1701
/src/gnulib/lib/regexec.c,2289,2289
/src/gnulib/lib/regexec.c,1717,1717
/src/gnulib/lib/regexec.c,3131,3131
/src/gnulib/lib/regexec.c,1717,1717
/src/gnulib/lib/regexec.c,3086,3086
/src/gnulib/lib/regexec.c,1701,1701
/src/gnulib/lib/regexec.c,1717,1717
/src/gnulib/lib/regexec.c,3081,3081
/src/gnulib/lib/regexec.c,3086,3086
/src/gnulib/lib/regexec.c,3131,3131
/src/gnulib-git/gnulib/tests/test-ceilf1.c,45,45
/src/gnulib-git/gnulib/tests/test-ceilf1.c,45,45
/src/gnulib-git/gnulib/lib/chown.c,47,47
/src/gnulib-git/gnulib/lib/unistr/u16-strrchr.c,24,24
/src/gnulib-git/gnulib/tests/test-isnan.c,44,44
/src/gnulib-git/gnulib/tests/test-isnan.c,44,44
/src/gnulib-git/gnulib/lib/strtol.c,326,326
/src/gnulib-git/gnulib/lib/strtol.c,326,326
/src/gnulib-git/gnulib/lib/strtol.c,289,289
/src/gnulib-git/gnulib/lib/strtol.c,289,289
/src/gnulib-git/gnulib/lib/strtol.c,431,431
/src/gnulib-git/gnulib/lib/uniconv/u8-strconv-to-locale.c,25,25
/src/gnulib-git/gnulib/lib/setenv.c,136,136
/src/lib/forcefindlib.c,44,44
/src/gnulib-git/gnulib/lib/argp-fmtstream.c,124,124
/src/gnulib-git/gnulib/lib/mbswidth.c,51,51
