File,Source Line,Destination Line
/src/gnulib-cvs/gnulib/lib/ldexpl.c,34,34
/src/gnulib-cvs/gnulib/lib/isnan.c,57,69
/src/gnulib-cvs/gnulib/lib/isnan.c,57,69
/src/gnulib-cvs/gnulib/lib/gc-libgcrypt.c,391,391
/src/gnulib-cvs/gnulib/lib/getpass.c,92,92
/src/gnulib-cvs/gnulib/lib/getpass.c,92,92
/src/gnulib-cvs/gnulib/lib/getpass.c,93,93
/src/gnulib-cvs/gnulib/tests/test-sprintf-posix.h,26,26
/src/gnulib-cvs/gnulib/tests/test-sprintf-posix.h,26,26
/src/find/ftsfind.c,471,472
/src/find/ftsfind.c,471,472
/src/find/ftsfind.c,668,669
/src/find/ftsfind.c,550,551
/src/find/ftsfind.c,156,156
/src/find/ftsfind.c,471,472
/src/find/ftsfind.c,223,223
/src/find/ftsfind.c,85,85
/src/find/ftsfind.c,394,394
/src/find/ftsfind.c,89,89
/src/find/ftsfind.c,421,421
/src/find/ftsfind.c,668,669
/src/find/ftsfind.c,394,394
/src/find/ftsfind.c,471,472
/src/find/ftsfind.c,166,166
/src/find/ftsfind.c,471,472
/src/find/ftsfind.c,223,223
/src/find/ftsfind.c,442,442
/src/find/ftsfind.c,156,156
/src/gnulib-cvs/gnulib/lib/tls.c,45,45
/src/gnulib-cvs/gnulib/lib/linebuffer.c,38,38
/src/gnulib-cvs/gnulib/lib/utimens.c,43,43
/src/gnulib-cvs/gnulib/lib/utimens.c,42,43
/src/gnulib-cvs/gnulib/lib/utimens.c,42,43
/src/gnulib-cvs/gnulib/lib/utimens.c,43,43
/src/gnulib-cvs/gnulib/tests/test-snprintf-posix.h,26,26
/src/gnulib-cvs/gnulib/tests/test-snprintf-posix.h,26,26
/src/tests/test-mbsstr1.c,62,72
/src/tests/test-mbsstr1.c,88,98
/src/tests/test-mbsstr1.c,64,74
/src/tests/test-mbsstr1.c,86,96
/src/find/find.c,516,520
/src/find/find.c,1187,1199
/src/find/find.c,1341,1353
/src/find/find.c,953,965
/src/find/find.c,754,762
/src/find/find.c,516,520
/src/find/find.c,953,965
/src/find/find.c,658,666
/src/find/find.c,1253,1265
/src/find/find.c,1175,1187
/src/find/find.c,170,170
/src/find/find.c,1187,1199
/src/find/find.c,1253,1265
/src/find/find.c,1174,1186
/src/find/find.c,516,520
/src/find/find.c,953,965
/src/find/find.c,953,965
/src/find/find.c,1174,1186
/src/find/find.c,1187,1199
/src/find/find.c,471,475
/src/find/find.c,1174,1186
/src/find/find.c,1187,1199
/src/find/find.c,1341,1353
/src/find/find.c,1175,1187
/src/find/find.c,1174,1186
/src/find/find.c,953,965
/src/find/find.c,1341,1353
/src/find/find.c,814,822
/src/find/find.c,953,965
/src/find/find.c,1374,1386
/src/find/find.c,1341,1353
/src/find/find.c,1341,1353
/src/find/find.c,516,520
/src/find/find.c,1341,1353
/src/find/find.c,796,804
/src/find/find.c,1187,1199
/src/find/find.c,1187,1199
/src/find/find.c,1188,1200
/src/find/find.c,170,170
/src/find/find.c,516,520
/src/find/find.c,516,520
/src/find/find.c,1188,1200
/src/find/find.c,471,475
/src/find/find.c,1374,1386
/src/find/find.c,1175,1187
/src/find/find.c,1188,1200
/src/find/find.c,1253,1265
/src/find/find.c,1253,1265
/src/find/find.c,769,777
/src/find/find.c,1175,1187
/src/find/find.c,1188,1200
/src/find/find.c,183,183
/src/tests/test-mbsstr2.c,97,107
/src/tests/test-mbsstr2.c,73,83
/src/find/pred.c,431,435
/src/find/pred.c,870,874
/src/find/pred.c,807,811
/src/find/pred.c,822,826
/src/find/pred.c,757,761
/src/find/pred.c,1228,1232
/src/find/pred.c,803,807
/src/find/pred.c,431,435
/src/find/pred.c,801,805
/src/find/pred.c,681,685
/src/find/pred.c,838,842
/src/find/pred.c,854,858
/src/find/pred.c,1975,1983
/src/find/pred.c,800,804
/src/find/pred.c,431,435
/src/find/pred.c,741,745
/src/find/pred.c,667,671
/src/find/pred.c,808,812
/src/find/pred.c,799,803
/src/find/pred.c,797,801
/src/find/pred.c,653,657
/src/find/pred.c,431,435
/src/find/pred.c,2028,2036
/src/find/pred.c,925,929
/src/find/pred.c,1247,1251
/src/find/pred.c,624,628
/src/find/pred.c,755,759
/src/find/pred.c,798,802
/src/find/pred.c,805,809
/src/find/pred.c,708,712
/src/find/pred.c,624,628
/src/find/pred.c,1228,1232
/src/find/pred.c,993,997
/src/find/pred.c,1739,1747
/src/find/pred.c,638,642
/src/find/pred.c,1228,1232
/src/find/pred.c,765,769
/src/find/pred.c,752,756
/src/find/pred.c,808,812
/src/find/pred.c,898,902
/src/find/pred.c,699,703
/src/find/pred.c,880,884
/src/find/pred.c,910,914
/src/find/pred.c,1739,1747
/src/find/pred.c,752,756
/src/find/pred.c,804,808
/src/find/pred.c,1739,1747
/src/find/pred.c,645,649
/src/find/pred.c,818,822
/src/find/pred.c,2106,2114
/src/find/pred.c,1739,1747
/src/find/pred.c,1247,1251
/src/find/pred.c,1739,1747
/src/find/pred.c,849,853
/src/find/pred.c,1247,1251
/src/find/pred.c,2055,2063
/src/find/pred.c,1141,1145
/src/find/pred.c,802,806
/src/find/pred.c,844,848
/src/find/pred.c,649,653
/src/find/pred.c,806,810
/src/find/pred.c,2029,2037
/src/find/pred.c,663,667
/src/find/pred.c,983,987
/src/find/pred.c,725,729
/src/find/pred.c,431,435
/src/find/pred.c,1976,1984
/src/find/pred.c,1144,1148
/src/find/pred.c,777,781
/src/find/pred.c,1141,1145
/src/find/pred.c,902,906
/src/find/pred.c,755,759
/src/find/pred.c,1739,1747
/src/find/pred.c,431,435
/src/find/pred.c,1247,1251
/src/tests/test-mbscasestr1.c,64,74
/src/tests/test-mbscasestr1.c,87,97
/src/tests/test-mbscasestr1.c,89,99
/src/tests/test-mbscasestr1.c,62,72
/src/gnulib-cvs/gnulib/lib/sigprocmask.c,36,36
/src/gnulib-cvs/gnulib/lib/sigprocmask.c,82,82
/src/gnulib-cvs/gnulib/lib/sigprocmask.c,103,103
/src/gnulib-cvs/gnulib/lib/sigprocmask.c,67,67
/src/tests/test-mbscasestr2.c,97,107
/src/tests/test-mbscasestr2.c,73,83
/src/tests/test-c-strstr.c,63,73
/src/tests/test-c-strstr.c,85,95
/src/tests/test-c-strstr.c,87,97
/src/tests/test-c-strstr.c,61,71
