File,Source Line,Destination Line
/src/gnulib/lib/sendto.c,32,32
/src/gnulib/lib/accept.c,32,32
/src/gnulib/lib/send.c,32,32
/src/gnulib/lib/getsockname.c,32,32
/src/lib/strtol.c,325,325
/src/lib/strtol.c,288,288
/src/lib/strtol.c,288,288
/src/lib/strtol.c,325,325
/src/gnulib/lib/sincosl.c,108,108
/src/gnulib/lib/sincosl.c,173,177
/src/gnulib/lib/sincosl.c,109,109
/src/gnulib/lib/sincosl.c,174,178
/src/gnulib/lib/euidaccess.c,168,168
/src/gnulib/lib/euidaccess.c,174,174
/src/gnulib/lib/euidaccess.c,79,79
/src/gnulib/lib/euidaccess.c,170,170
/src/gnulib/lib/euidaccess.c,175,175
/src/gnulib/lib/euidaccess.c,172,172
/src/gnulib/lib/euidaccess.c,173,173
/src/gnulib/lib/euidaccess.c,169,169
/src/gnulib/lib/euidaccess.c,171,171
/src/gnulib/lib/euidaccess.c,176,176
/src/src/dfa.c,521,521
/src/src/dfa.c,2889,2876
/src/src/dfa.c,3247,3267
/src/src/dfa.c,2684,2682
/src/src/dfa.c,1894,1884
/src/src/dfa.c,1850,1840
/src/src/dfa.c,1769,1759
/src/src/dfa.c,1763,1753
/src/src/dfa.c,1782,1772
/src/src/dfa.c,1810,1800
/src/src/dfa.c,1771,1761
/src/src/dfa.c,3261,3281
/src/src/dfa.c,1771,1761
/src/src/dfa.c,1810,1800
/src/src/dfa.c,3204,3224
/src/src/dfa.c,3597,3617
/src/src/dfa.c,2733,2730
/src/src/dfa.c,3204,3224
/src/src/dfa.c,1424,1416
/src/src/dfa.c,1769,1759
/src/src/dfa.c,1790,1780
/src/src/dfa.c,1818,1808
/src/src/dfa.c,1749,1739
/src/src/dfa.c,1749,1739
/src/src/dfa.c,1424,1416
/src/src/dfa.c,1752,1742
/src/src/dfa.c,1752,1742
/src/src/dfa.c,1894,1884
/src/src/dfa.c,3329,3349
/src/src/dfa.c,3329,3349
/src/src/dfa.c,3247,3267
/src/src/dfa.c,3204,3224
/src/src/dfa.c,3262,3282
/src/src/dfa.c,1879,1869
/src/src/dfa.c,1749,1739
/src/src/dfa.c,1752,1742
/src/src/dfa.c,2740,2737
/src/src/dfa.c,3204,3224
/src/src/dfa.c,1771,1761
/src/src/dfa.c,3204,3224
/src/src/dfa.c,3372,3392
/src/src/dfa.c,1752,1742
/src/src/dfa.c,3245,3265
/src/src/dfa.c,1749,1739
/src/src/dfa.c,1749,1739
/src/src/dfa.c,1810,1800
/src/src/dfa.c,2740,2737
/src/src/dfa.c,1795,1785
/src/src/dfa.c,3329,3349
/src/src/dfa.c,1752,1742
/src/src/dfa.c,1818,1808
/src/src/dfa.c,3204,3224
/src/src/dfa.c,3595,3615
/src/src/dfa.c,2684,2682
/src/src/dfa.c,1803,1793
/src/src/dfa.c,1894,1884
/src/src/dfa.c,1814,1804
/src/src/dfa.c,3247,3267
/src/src/dfa.c,3247,3267
/src/src/dfa.c,1818,1808
/src/src/dfa.c,1850,1840
/src/src/dfa.c,1879,1869
/src/src/dfa.c,3329,3349
/src/src/dfa.c,1814,1804
/src/src/dfa.c,2733,2730
/src/src/dfa.c,3247,3267
/src/src/dfa.c,3329,3349
/src/src/dfa.c,3329,3349
/src/src/dfa.c,656,726
/src/src/dfa.c,3247,3267
/src/src/dfa.c,1782,1772
/src/src/dfa.c,2889,2876
/src/src/dfa.c,3593,3613
/src/src/dfa.c,1771,1761
/src/src/dfa.c,1782,1772
/src/src/dfa.c,1894,1884
/src/src/dfa.c,1856,1846
/src/src/dfa.c,1424,1416
