File,Source Line,Destination Line
/src/gnulib/tests/test-linkat.c,141,148
/src/gnulib/tests/test-memchr.c,103,101
/src/gnulib/tests/test-memchr.c,103,101
/src/gnulib/tests/test-memchr.c,101,96
/src/gnulib/tests/test-memchr.c,101,96
/src/gnulib/tests/test-memchr.c,101,96
/src/gnulib/tests/test-memchr.c,103,101
/src/gnulib/lib/rijndael-api-fst.c,214,214
/src/gnulib/lib/rijndael-api-fst.c,214,214
/src/gnulib/lib/rijndael-api-fst.c,431,431
/src/gnulib/lib/rijndael-api-fst.c,292,292
/src/gnulib/lib/rijndael-api-fst.c,443,443
/src/gnulib/lib/rijndael-api-fst.c,443,443
/src/gnulib/lib/rijndael-api-fst.c,502,502
/src/gnulib/lib/rijndael-api-fst.c,292,292
/src/gnulib/lib/rijndael-api-fst.c,502,502
/src/gnulib/lib/rijndael-api-fst.c,280,280
/src/gnulib/lib/rijndael-api-fst.c,369,369
/src/gnulib/lib/rijndael-api-fst.c,369,369
/src/gnulib/lib/findprog.c,39,39
/src/gnulib/lib/linebuffer.c,43,43
/src/gnulib/lib/linebuffer.c,37,37
/src/gnulib/lib/linebuffer.c,100,100
/src/gnulib/tests/uniconv/test-u32-conv-to-enc.c,58,46
/src/gnulib/tests/uniconv/test-u32-conv-to-enc.c,59,47
/src/gnulib/tests/uniconv/test-u32-conv-to-enc.c,57,45
/src/gnulib/tests/uniconv/test-u32-conv-to-enc.c,55,43
/src/gnulib/tests/uniconv/test-u32-conv-to-enc.c,55,43
/src/gnulib/tests/uniconv/test-u32-conv-to-enc.c,57,45
/src/gnulib/tests/uniconv/test-u32-conv-to-enc.c,59,47
/src/gnulib/tests/uniconv/test-u32-conv-to-enc.c,58,46
/src/gnulib/lib/human.c,462,461
/src/gnulib/lib/human.c,265,264
/src/gnulib/lib/human.c,159,158
/src/gnulib/lib/human.c,190,189
/src/gnulib/lib/human.c,414,413
/src/gnulib/lib/human.c,190,189
/src/gnulib/lib/human.c,154,153
/src/gnulib/lib/human.c,265,264
/src/lib/fnmatch.c,289,288
/src/lib/fnmatch.c,286,285
/src/lib/fnmatch.c,285,284
/src/lib/fnmatch.c,288,287
/src/gnulib/lib/nl_langinfo.c,41,41
/src/gnulib/lib/unistr/u8-mbtouc-unsafe-aux.c,26,26
/src/gnulib/lib/unicase/u8-totitle.c,45,45
/src/gnulib/lib/openat.c,38,38
/src/gnulib/lib/xgetdomainname.c,48,48
/src/gnulib/tests/test-read-file.c,89,101
/src/gnulib/tests/test-read-file.c,58,60
/src/gnulib/tests/test-read-file.c,89,101
/src/gnulib/tests/test-read-file.c,58,60
/src/gnulib/lib/getaddrinfo.c,134,139
/src/gnulib/lib/getaddrinfo.c,295,300
/src/gnulib/lib/getaddrinfo.c,201,206
/src/gnulib/lib/getaddrinfo.c,294,299
/src/gnulib/lib/getaddrinfo.c,201,206
/src/gnulib/lib/getaddrinfo.c,294,299
/src/gnulib/lib/getaddrinfo.c,227,232
/src/gnulib/lib/getaddrinfo.c,227,232
/src/gnulib/lib/getaddrinfo.c,295,300
/src/gnulib/lib/obstack.c,59,59
/src/gnulib/lib/obstack.c,61,59
/src/gnulib/lib/obstack.c,61,59
/src/gnulib/lib/obstack.c,226,224
/src/gnulib/lib/obstack.c,60,59
/src/gnulib/lib/obstack.c,65,63
/src/gnulib/lib/obstack.c,59,59
/src/gnulib/lib/obstack.c,296,294
/src/gnulib/lib/obstack.c,60,59
/src/gnulib/lib/obstack.c,65,63
/src/gnulib/lib/obstack.c,178,176
/src/gnulib/lib/obstack.c,269,267
/src/gnulib/lib/fwriting.c,33,33
/src/gnulib/lib/fwriting.c,33,33
/src/gnulib/tests/test-memcmp.c,45,34
/src/gnulib/tests/test-memcmp.c,47,36
/src/gnulib/tests/test-memcmp.c,61,50
/src/gnulib/tests/test-memcmp.c,53,42
/src/gnulib/tests/test-memcmp.c,55,44
/src/gnulib/tests/test-memcmp.c,47,36
/src/gnulib/tests/test-memcmp.c,46,35
/src/gnulib/tests/test-memcmp.c,52,41
/src/gnulib/tests/test-memcmp.c,56,45
/src/gnulib/tests/test-memcmp.c,44,33
/src/gnulib/tests/test-memcmp.c,51,40
/src/gnulib/tests/test-memcmp.c,52,41
/src/gnulib/tests/test-memcmp.c,56,45
/src/gnulib/tests/test-memcmp.c,48,37
/src/gnulib/tests/test-memcmp.c,54,43
/src/gnulib/tests/test-memcmp.c,54,43
/src/gnulib/tests/test-memcmp.c,59,48
/src/gnulib/tests/test-memcmp.c,60,49
/src/gnulib/tests/test-memcmp.c,61,50
/src/gnulib/tests/test-memcmp.c,59,48
/src/gnulib/tests/test-memcmp.c,60,49
/src/gnulib/tests/test-memcmp.c,52,41
/src/gnulib/tests/test-memcmp.c,62,51
/src/gnulib/tests/test-memcmp.c,51,40
/src/gnulib/tests/test-memcmp.c,55,44
/src/gnulib/tests/test-memcmp.c,55,44
/src/gnulib/tests/test-memcmp.c,62,51
/src/gnulib/tests/test-memcmp.c,44,33
/src/gnulib/tests/test-memcmp.c,48,37
/src/gnulib/tests/test-memcmp.c,48,37
/src/gnulib/tests/test-memcmp.c,47,36
/src/gnulib/tests/test-memcmp.c,60,49
/src/gnulib/tests/test-memcmp.c,62,51
/src/gnulib/tests/test-memcmp.c,59,48
/src/gnulib/tests/test-memcmp.c,45,34
/src/gnulib/tests/test-memcmp.c,56,45
/src/gnulib/tests/test-memcmp.c,44,33
/src/gnulib/tests/test-memcmp.c,53,42
/src/gnulib/tests/test-memcmp.c,46,35
/src/gnulib/tests/test-memcmp.c,51,40
/src/gnulib/tests/test-memcmp.c,46,35
/src/gnulib/tests/test-memcmp.c,61,50
/src/gnulib/tests/test-memcmp.c,45,34
/src/gnulib/tests/test-memcmp.c,53,42
/src/gnulib/tests/test-memcmp.c,54,43
/src/gnulib/lib/fnmatch_loop.c,1132,1143
/src/gnulib/lib/fnmatch_loop.c,772,783
/src/gnulib/lib/fnmatch_loop.c,1169,1180
/src/gnulib/lib/fnmatch_loop.c,772,783
/src/gnulib/lib/fnmatch_loop.c,691,702
/src/gnulib/lib/fnmatch_loop.c,845,856
