File,Source Line,Destination Line
/src/lib/fts.c,1610,2005
/src/lib/fts.c,1667,2062
/src/lib/fts.c,1668,2063
/src/lib/fts.c,1668,2063
/src/lib/fts.c,533,596
/src/lib/fts.c,1667,2062
/src/lib/fnmatch.c,283,279
/src/lib/fnmatch.c,287,283
/src/lib/fnmatch.c,284,280
/src/lib/fnmatch.c,286,282
/src/lib/regexec.c,3087,3107
/src/lib/regexec.c,846,850
/src/lib/regexec.c,2290,2305
/src/lib/regexec.c,4030,4049
/src/lib/regexec.c,1718,1728
/src/lib/regexec.c,3087,3107
/src/lib/regexec.c,1702,1712
/src/lib/regexec.c,1718,1728
/src/lib/regexec.c,1702,1712
/src/lib/regexec.c,3132,3152
/src/lib/regexec.c,3132,3152
/src/lib/regexec.c,1718,1728
/src/lib/regexec.c,3132,3152
/src/lib/regexec.c,1702,1712
/src/lib/regexec.c,3087,3107
/src/lib/regexec.c,757,761
/src/src/fmt.c,833,863
/src/src/fmt.c,755,785
/src/src/fmt.c,647,677
/src/src/fmt.c,667,697
/src/src/fmt.c,714,744
/src/src/fmt.c,834,864
/src/src/fmt.c,993,1023
/src/src/fmt.c,755,785
/src/src/fmt.c,603,633
/src/src/users.c,91,91
/src/src/users.c,90,90
/src/src/users.c,95,95
/src/src/users.c,90,90
/src/src/users.c,78,78
/src/src/base64.c,103,106
/src/src/base64.c,186,189
/src/src/base64.c,208,211
/src/src/base64.c,144,147
/src/src/base64.c,179,182
/src/intl/localename.c,1490,2946
/src/src/md5sum.c,389,440
/src/src/md5sum.c,399,450
/src/lib/getcwd.c,247,254
/src/lib/getcwd.c,218,227
/src/lib/getcwd.c,218,227
/src/lib/getcwd.c,247,254
/src/lib/savewd.c,113,111
/src/src/system.h,414,313
/src/src/system.h,414,313
/src/src/system.h,395,294
/src/src/system.h,395,294
/src/src/system.h,263,161
/src/src/system.h,414,313
/src/src/system.h,414,313
/src/src/system.h,414,313
/src/src/system.h,414,313
/src/src/split.c,230,522
/src/src/split.c,232,524
/src/lib/propername.c,266,289
/src/lib/propername.c,266,289
/src/lib/propername.c,194,196
/src/lib/propername.c,194,196
/src/lib/propername.c,194,196
/src/lib/propername.c,266,289
/src/src/seq.c,370,478
/src/src/seq.c,477,620
/src/src/seq.c,335,323
/src/src/stty.c,1081,1093
/src/src/stty.c,1095,1107
/src/src/stty.c,1088,1100
/src/src/stty.c,1118,1130
/src/src/stty.c,1830,1849
/src/src/stty.c,1079,1091
/src/src/stty.c,1835,1854
/src/src/stty.c,1094,1106
/src/src/stty.c,1228,1240
/src/src/stty.c,1674,1693
/src/src/stty.c,1228,1240
/src/src/stty.c,1094,1106
/src/src/stty.c,1088,1100
/src/src/stty.c,1081,1093
/src/src/stty.c,1088,1100
/src/src/stty.c,1281,1293
/src/src/stty.c,1095,1107
/src/src/stty.c,1128,1140
/src/src/stty.c,1128,1140
/src/src/stty.c,1661,1680
/src/src/stty.c,1128,1140
/src/src/stty.c,1118,1130
/src/src/stty.c,1110,1122
/src/src/stty.c,1110,1122
/src/src/stty.c,1830,1849
/src/src/stty.c,1079,1091
/src/src/stty.c,1110,1122
/src/src/stty.c,1228,1240
/src/src/stty.c,1281,1293
/src/src/stty.c,1094,1106
/src/src/stty.c,1835,1854
/src/src/stty.c,1118,1130
/src/src/stty.c,1674,1693
/src/src/stty.c,1661,1680
/src/src/stty.c,1079,1091
/src/src/stty.c,1081,1093
/src/src/stty.c,1674,1693
/src/src/paste.c,403,406
/src/src/csplit.c,1003,1026
/src/src/csplit.c,918,933
/src/src/csplit.c,941,963
/src/src/csplit.c,1432,1447
/src/src/csplit.c,221,216
/src/src/csplit.c,221,216
/src/src/csplit.c,502,504
/src/src/csplit.c,1003,1026
/src/src/csplit.c,658,662
/src/src/csplit.c,1003,1026
/src/src/csplit.c,941,963
/src/src/csplit.c,481,483
/src/src/csplit.c,221,216
/src/src/csplit.c,941,963
/src/src/csplit.c,518,518
/src/src/csplit.c,1432,1447
/src/src/csplit.c,1432,1447
/src/src/csplit.c,941,963
/src/src/csplit.c,353,347
/src/src/csplit.c,221,216
/src/src/csplit.c,1432,1447
/src/src/csplit.c,483,485
/src/src/csplit.c,1003,1026
/src/src/csplit.c,502,504
/src/src/expr.c,688,801
/src/src/expr.c,628,762
/src/src/expr.c,482,608
/src/src/fold.c,214,215
/src/src/fold.c,152,153
/src/src/fold.c,159,160
/src/src/fold.c,307,308
/src/src/fold.c,242,243
/src/src/fold.c,152,153
/src/src/who.c,611,622
/src/src/who.c,204,205
/src/src/who.c,438,449
/src/src/who.c,619,630
/src/src/who.c,204,205
/src/src/who.c,612,623
/src/src/who.c,439,450
/src/src/who.c,438,449
/src/src/who.c,507,518
/src/src/who.c,439,450
/src/src/who.c,457,468
/src/src/who.c,511,522
/src/src/who.c,611,622
/src/src/who.c,457,468
/src/src/who.c,507,518
/src/src/who.c,511,522
/src/lib/strtol.c,289,287
/src/lib/strtol.c,289,287
/src/lib/strtol.c,326,324
/src/lib/strtol.c,326,324
/src/src/ls.c,2630,2960
/src/src/ls.c,1278,1405
/src/src/ls.c,2649,2979
/src/src/ls.c,1105,1232
/src/src/ls.c,2630,2960
/src/src/ls.c,3909,4278
/src/src/ls.c,3887,4256
/src/src/ls.c,1023,1139
/src/src/ls.c,1022,1138
/src/src/ls.c,1395,1530
/src/src/ls.c,1116,1243
/src/src/ls.c,2746,3072
/src/src/ls.c,1403,1538
/src/src/ls.c,3294,3647
/src/src/ls.c,1079,1206
/src/src/ls.c,3955,4345
/src/src/ls.c,1397,1532
/src/src/ls.c,1079,1206
/src/src/ls.c,2331,2514
/src/src/ls.c,1061,1188
/src/src/ls.c,2649,2979
/src/src/ls.c,1050,1177
/src/src/ls.c,1355,1490
/src/src/ls.c,2333,2516
/src/src/ls.c,2457,2662
/src/src/ls.c,2648,2978
/src/src/ls.c,2259,2442
/src/src/ls.c,1395,1530
/src/src/head.c,720,741
/src/src/head.c,841,862
/src/src/head.c,192,189
/src/src/head.c,725,746
/src/src/head.c,941,962
/src/src/head.c,627,640
/src/src/head.c,192,189
/src/src/head.c,724,745
/src/src/head.c,947,968
/src/src/head.c,985,1006
/src/src/head.c,724,745
/src/src/head.c,720,741
/src/src/head.c,985,1006
/src/src/head.c,627,640
/src/src/head.c,947,968
/src/src/head.c,941,962
/src/lib/mktime.c,115,142
/src/lib/mktime.c,108,135
/src/lib/mktime.c,167,203
/src/lib/mktime.c,107,134
/src/lib/mktime.c,168,260
/src/lib/mktime.c,115,142
/src/lib/mktime.c,168,260
/src/lib/mktime.c,107,134
/src/lib/mktime.c,108,135
/src/lib/mktime.c,167,203
/src/lib/striconv.c,63,63
/src/lib/striconv.c,63,63
/src/lib/utimecmp.c,223,276
/src/lib/utimecmp.c,310,366
/src/lib/utimecmp.c,310,366
/src/lib/utimecmp.c,223,276
/src/src/sum.c,99,99
/src/src/sum.c,197,199
/src/src/sum.c,197,199
/src/src/sum.c,104,104
/src/src/sum.c,263,269
/src/src/sum.c,167,169
/src/src/nohup.c,205,225
/src/src/nohup.c,215,235
/src/src/nohup.c,168,178
/src/intl/localcharset.c,123,129
/src/lib/gettimeofday.c,83,87
/src/src/pwd.c,192,202
/src/src/pwd.c,192,202
/src/src/pwd.c,192,202
/src/src/pwd.c,155,165
/src/src/pwd.c,190,200
/src/src/pwd.c,190,200
/src/src/pwd.c,190,200
/src/lib/localcharset.c,118,127
/src/lib/freadseek.c,41,43
/src/lib/freadseek.c,40,42
/src/lib/freadseek.c,41,43
/src/lib/freadseek.c,40,42
/src/intl/printf.c,162,182
/src/intl/printf.c,129,144
/src/intl/printf.c,109,124
/src/lib/sig2str.c,277,279
/src/lib/sig2str.c,280,282
/src/lib/sig2str.c,278,280
/src/lib/sig2str.c,286,288
/src/lib/sig2str.c,277,279
/src/lib/sig2str.c,278,280
/src/lib/sig2str.c,286,288
/src/lib/sig2str.c,286,288
/src/lib/sig2str.c,277,279
/src/lib/sig2str.c,280,282
/src/lib/sig2str.c,280,282
/src/lib/sig2str.c,278,280
/src/lib/regex_internal.c,489,494
/src/lib/regex_internal.c,491,496
/src/lib/regex_internal.c,228,229
/src/lib/regex_internal.c,213,214
/src/lib/regex_internal.c,925,931
/src/lib/regex_internal.c,368,372
/src/lib/regex_internal.c,211,212
/src/lib/mkdir-p.c,137,141
