File,Source Line,Destination Line
/src/src/cut.c,596,607
/src/lib/fts.c,1400,1912
/src/lib/fts.c,1427,1970
/src/lib/fts.c,1424,1969
/src/lib/fts.c,1427,1970
/src/lib/fts.c,481,567
/src/lib/fts.c,1424,1969
/src/intl/os2compat.c,32,32
/src/lib/chown.c,47,60
/src/src/fmt.c,648,649
/src/src/fmt.c,996,995
/src/src/fmt.c,836,835
/src/src/fmt.c,607,605
/src/src/fmt.c,837,836
/src/src/split.c,233,296
/src/src/split.c,324,395
/src/src/split.c,231,294
/src/src/split.c,387,804
/src/src/seq.c,296,342
/src/lib/obstack.c,187,176
/src/lib/obstack.c,235,224
/src/lib/obstack.c,305,294
/src/lib/obstack.c,278,267
/src/src/stty.c,1227,1232
/src/src/stty.c,1133,1138
/src/src/stty.c,1146,1151
/src/src/stty.c,1109,1114
/src/src/stty.c,1191,1196
/src/src/stty.c,1193,1198
/src/src/stty.c,1087,1092
/src/src/stty.c,1078,1083
/src/src/stty.c,1085,1090
/src/src/stty.c,1117,1122
/src/src/stty.c,1087,1092
/src/src/stty.c,1133,1138
/src/src/stty.c,1125,1130
/src/src/stty.c,1176,1181
/src/src/stty.c,1234,1239
/src/src/stty.c,1193,1198
/src/src/stty.c,1802,1826
/src/src/stty.c,1109,1114
/src/src/stty.c,1080,1085
/src/src/stty.c,1127,1132
/src/src/stty.c,1125,1130
/src/src/stty.c,1138,1143
/src/src/stty.c,1094,1099
/src/src/stty.c,1200,1205
/src/src/stty.c,1094,1099
/src/src/stty.c,1244,1249
/src/src/stty.c,1085,1090
/src/src/stty.c,1093,1098
/src/src/stty.c,1152,1157
/src/src/stty.c,1202,1207
/src/src/stty.c,1802,1826
/src/src/stty.c,1221,1226
/src/src/stty.c,1163,1168
/src/src/stty.c,1127,1132
/src/src/stty.c,1093,1098
/src/src/stty.c,1200,1205
/src/src/stty.c,1202,1207
/src/src/stty.c,1191,1196
/src/src/stty.c,1146,1151
/src/src/stty.c,1221,1226
/src/src/stty.c,1244,1249
/src/src/stty.c,1078,1083
/src/src/stty.c,1117,1122
/src/src/stty.c,1152,1157
/src/src/stty.c,1227,1232
/src/src/stty.c,1176,1181
/src/src/stty.c,1234,1239
/src/src/stty.c,1163,1168
/src/src/stty.c,1080,1085
/src/src/stty.c,1138,1143
/src/lib/fnmatch_loop.c,754,778
/src/lib/fnmatch_loop.c,1160,1184
/src/lib/fnmatch_loop.c,754,778
/src/lib/fnmatch_loop.c,1114,1138
/src/lib/fnmatch_loop.c,1136,1160
/src/lib/fnmatch_loop.c,827,851
/src/lib/fnmatch_loop.c,1106,1130
/src/lib/fnmatch_loop.c,1098,1122
/src/lib/fnmatch_loop.c,1151,1175
/src/lib/fnmatch_loop.c,827,851
/src/src/cp.c,948,1068
/src/src/cp.c,948,1068
/src/src/cp.c,623,704
/src/src/cp.c,623,704
/src/intl/dcigettext.c,583,697
/src/intl/dcigettext.c,583,697
/src/src/csplit.c,485,473
/src/src/csplit.c,483,471
/src/src/csplit.c,356,336
/src/src/csplit.c,727,718
/src/src/csplit.c,658,649
/src/src/tac.c,162,165
/src/src/tac.c,317,323
/src/src/tac.c,614,566
/src/src/tac.c,335,341
/src/src/tac.c,338,344
/src/src/tac.c,335,341
/src/src/tac.c,316,322
/src/src/tac.c,316,322
/src/src/tac.c,317,323
/src/src/tac.c,338,344
/src/src/tac.c,706,661
/src/src/expr.c,651,808
/src/src/expr.c,465,615
/src/src/expr.c,607,769
/src/src/expand.c,351,341
/src/src/expand.c,351,341
/src/src/expand.c,350,340
/src/src/expand.c,350,340
/src/src/expand.c,351,341
/src/src/expand.c,350,340
/src/src/tr.c,1820,1884
/src/src/tr.c,1655,1715
/src/lib/getopt.c,1181,1132
/src/lib/strtol.c,323,325
/src/lib/strtol.c,286,288
/src/lib/strtol.c,323,325
/src/lib/strtol.c,286,288
/src/src/ls.c,2163,2376
/src/src/ls.c,1044,1191
/src/src/ls.c,1044,1191
/src/src/ls.c,2211,2448
/src/src/ls.c,3634,4123
/src/src/ls.c,2213,2450
/src/src/tsort.c,133,127
/src/src/unexpand.c,429,417
/src/src/unexpand.c,429,417
/src/src/unexpand.c,427,415
/src/src/unexpand.c,427,415
/src/src/unexpand.c,427,415
/src/src/unexpand.c,429,417
/src/intl/localcharset.c,120,117
/src/lib/gettimeofday.c,108,90
/src/src/cksum.c,288,283
/src/src/pwd.c,208,203
/src/src/pwd.c,205,201
/src/src/pwd.c,208,203
/src/src/pwd.c,208,203
/src/src/pwd.c,205,201
/src/src/pwd.c,205,201
/src/lib/localcharset.c,119,130
/src/intl/printf.c,101,122
/src/intl/printf.c,154,180
/src/intl/printf.c,121,142
/src/lib/sig2str.c,281,280
/src/lib/sig2str.c,280,279
/src/lib/sig2str.c,281,280
/src/lib/sig2str.c,281,280
/src/lib/sig2str.c,280,279
/src/lib/sig2str.c,289,288
/src/lib/sig2str.c,283,282
/src/lib/sig2str.c,283,282
/src/lib/sig2str.c,289,288
/src/lib/sig2str.c,283,282
/src/lib/sig2str.c,289,288
/src/lib/sig2str.c,280,279
/src/lib/backupfile.c,138,112
/src/lib/backupfile.c,139,113
/src/lib/backupfile.c,138,112
/src/lib/backupfile.c,138,112
/src/lib/backupfile.c,139,113
/src/lib/backupfile.c,139,113
/src/src/rmdir.c,100,117
/src/src/printenv.c,79,85
/src/src/printenv.c,80,86
/src/src/uptime.c,141,160
/src/src/uptime.c,141,160
/src/src/uptime.c,58,60
/src/src/uptime.c,141,160
/src/src/uptime.c,138,157
/src/src/uptime.c,138,157
/src/src/uptime.c,138,157
/src/lib/getopt1.c,91,87
/src/lib/readtokens0.c,44,45
/src/lib/readtokens0.c,54,55
/src/lib/readtokens0.c,96,97
/src/lib/readtokens0.c,95,96
/src/lib/readtokens0.c,43,44
/src/lib/readtokens0.c,42,43
/src/src/cat.c,160,160
/src/src/dd.c,1200,1577
/src/src/dd.c,1147,1480
/src/src/dd.c,1496,1902
/src/src/dd.c,1495,1901
/src/src/pinky.c,366,360
/src/src/pinky.c,392,384
/src/src/od.c,1052,1010
/src/src/pr.c,1323,1336
/src/src/pr.c,1513,1526
/src/src/pr.c,2088,2104
/src/src/pr.c,1552,1565
/src/src/pr.c,1983,1999
/src/src/pr.c,2565,2580
/src/src/pr.c,2017,2033
/src/src/pr.c,1258,1273
/src/src/pr.c,2566,2581
/src/src/pr.c,1514,1527
/src/src/pr.c,1553,1566
/src/src/nl.c,317,328
/src/src/hostname.c,82,74
/src/lib/quotearg.c,443,524
/src/lib/quotearg.c,443,524
/src/lib/quotearg.c,443,524
/src/lib/hash.c,717,763
/src/lib/hash.c,652,700
/src/lib/hash.c,449,456
/src/lib/hash.c,652,700
/src/lib/hash.c,671,717
/src/intl/loadmsgcat.c,907,791
/src/intl/loadmsgcat.c,963,861
/src/intl/loadmsgcat.c,907,791
/src/intl/loadmsgcat.c,950,847
/src/intl/loadmsgcat.c,950,847
/src/intl/loadmsgcat.c,907,791
/src/intl/loadmsgcat.c,963,861
/src/intl/loadmsgcat.c,907,791
/src/intl/loadmsgcat.c,907,791
/src/intl/loadmsgcat.c,963,861
/src/src/ptx.c,1258,1203
/src/src/ptx.c,1257,1202
/src/src/ptx.c,1413,1360
/src/src/ptx.c,671,604
/src/src/ptx.c,1255,1200
/src/src/ptx.c,1414,1361
/src/src/ptx.c,1412,1359
/src/src/ptx.c,1256,1201
/src/src/ptx.c,670,603
/src/src/join.c,397,524
/src/src/join.c,500,633
/src/intl/l10nflist.c,373,352
/src/src/pathchk.c,322,385
/src/src/pathchk.c,322,385
/src/src/pathchk.c,164,199
/src/src/pathchk.c,240,316
/src/src/pathchk.c,320,383
/src/src/pathchk.c,320,383
/src/src/pathchk.c,241,317
/src/src/pathchk.c,320,383
/src/src/pathchk.c,241,317
/src/src/pathchk.c,164,199
/src/src/pathchk.c,240,316
/src/src/pathchk.c,322,385
/src/src/pathchk.c,240,316
/src/src/pathchk.c,241,317
/src/lib/xmalloc.c,196,80
/src/lib/xmalloc.c,220,107
/src/src/tac-pipe.c,216,234
/src/lib/setenv.c,135,144
/src/lib/exclude.c,162,337
/src/lib/exclude.c,165,340
/src/lib/modechange.c,413,339
/src/lib/modechange.c,196,67
/src/lib/modechange.c,414,341
/src/lib/modechange.c,193,64
/src/lib/modechange.c,195,66
/src/lib/modechange.c,203,74
/src/lib/modechange.c,201,72
/src/lib/modechange.c,412,337
/src/lib/modechange.c,422,337
/src/lib/modechange.c,194,65
/src/lib/modechange.c,197,68
/src/lib/modechange.c,198,69
/src/lib/modechange.c,199,70
/src/lib/modechange.c,423,339
/src/lib/modechange.c,202,73
/src/lib/modechange.c,424,341
/src/lib/modechange.c,192,63
/src/lib/modechange.c,200,71
