File,Source Line,Destination Line
/src/gnulib-cvs/gnulib/lib/c-stack.c,119,117
/src/gnulib/lib/regexec.c,1675,1716
/src/gnulib/lib/regexec.c,1659,1700
/src/gnulib/lib/regexec.c,3035,3085
/src/gnulib/lib/regexec.c,3035,3085
/src/gnulib/lib/regexec.c,3080,3130
/src/gnulib/lib/regexec.c,3030,3080
/src/gnulib/lib/regexec.c,1659,1700
/src/gnulib/lib/regexec.c,3972,4028
/src/gnulib/lib/regexec.c,1659,1700
/src/gnulib/lib/regexec.c,3030,3080
/src/gnulib/lib/regexec.c,3080,3130
/src/gnulib/lib/regexec.c,1675,1716
/src/gnulib/lib/regexec.c,3080,3130
/src/gnulib/lib/regexec.c,1675,1716
/src/gnulib/lib/regexec.c,3035,3085
/src/gnulib/lib/regexec.c,2244,2288
/src/gnulib-cvs/gnulib/lib/utimens.c,41,43
/src/gnulib-cvs/gnulib/lib/utimens.c,40,43
/src/gnulib-cvs/gnulib/lib/utimens.c,40,43
/src/gnulib-cvs/gnulib/lib/utimens.c,41,43
/src/gnulib-cvs/gnulib/lib/xstrtod.c,39,48
/src/gnulib-cvs/gnulib/lib/fnmatch_loop.c,754,754
/src/gnulib-cvs/gnulib/lib/fnmatch_loop.c,827,827
/src/gnulib-cvs/gnulib/lib/fnmatch_loop.c,1098,1098
/src/gnulib-cvs/gnulib/lib/fnmatch_loop.c,1114,1114
/src/gnulib-cvs/gnulib/lib/fnmatch_loop.c,754,754
/src/gnulib-cvs/gnulib/lib/fnmatch_loop.c,827,827
/src/gnulib-cvs/gnulib/lib/fnmatch_loop.c,1106,1106
/src/gnulib-cvs/gnulib/lib/fnmatch_loop.c,1160,1160
/src/gnulib-cvs/gnulib/lib/fnmatch_loop.c,1136,1136
/src/gnulib-cvs/gnulib/lib/fnmatch_loop.c,1151,1151
/src/gnulib-cvs/gnulib/lib/backupfile.c,137,119
/src/gnulib-cvs/gnulib/lib/backupfile.c,378,355
/src/gnulib-cvs/gnulib/lib/backupfile.c,137,119
/src/gnulib-cvs/gnulib/lib/backupfile.c,291,270
/src/gnulib-cvs/gnulib/lib/backupfile.c,136,118
/src/gnulib-cvs/gnulib/lib/backupfile.c,137,119
/src/gnulib-cvs/gnulib/lib/backupfile.c,136,118
/src/gnulib-cvs/gnulib/lib/backupfile.c,136,118
/src/gnulib-cvs/gnulib/lib/localcharset.c,119,113
/src/gnulib-cvs/gnulib/lib/argp-parse.c,729,729
/src/gnulib-cvs/gnulib/lib/argp-parse.c,332,332
/src/lib/buildcmd.c,347,377
/src/lib/buildcmd.c,344,374
/src/lib/buildcmd.c,320,324
/src/lib/buildcmd.c,312,316
/src/lib/buildcmd.c,347,377
/src/lib/buildcmd.c,347,377
/src/lib/buildcmd.c,344,374
/src/lib/buildcmd.c,320,324
/src/lib/buildcmd.c,344,374
/src/gnulib-cvs/gnulib/lib/strtol.c,338,330
/src/gnulib-cvs/gnulib/lib/strtol.c,443,435
/src/gnulib-cvs/gnulib/lib/strtol.c,301,293
/src/gnulib-cvs/gnulib/lib/strtol.c,301,293
/src/gnulib-cvs/gnulib/lib/strtol.c,338,330
/src/gnulib-cvs/gnulib/lib/fsusage.c,109,97
/src/gnulib-cvs/gnulib/lib/csharpexec.c,198,287
/src/gnulib-cvs/gnulib/lib/copy-file.c,54,51
/src/gnulib-cvs/gnulib/lib/base64.c,382,402
/src/gnulib-cvs/gnulib/lib/base64.c,112,116
/src/gnulib-cvs/gnulib/lib/gc-libgcrypt.c,365,369
/src/gnulib-cvs/gnulib/lib/mkdtemp.c,129,125
/src/gnulib-cvs/gnulib/lib/sha1.c,128,122
/src/find/tree.c,1214,1214
/src/find/tree.c,101,101
/src/find/tree.c,1242,1242
/src/find/tree.c,1214,1214
/src/find/tree.c,1214,1214
/src/find/tree.c,1242,1242
/src/find/tree.c,940,940
/src/find/tree.c,1272,1272
/src/find/tree.c,976,976
/src/find/tree.c,313,313
/src/find/tree.c,676,676
/src/find/tree.c,326,326
/src/find/tree.c,101,101
/src/find/tree.c,1477,1477
/src/find/tree.c,1242,1242
/src/find/tree.c,1477,1477
/src/find/tree.c,1242,1242
/src/find/tree.c,1276,1276
/src/find/tree.c,1242,1242
/src/find/tree.c,301,301
/src/gnulib-cvs/gnulib/lib/exclude.c,181,173
/src/gnulib-cvs/gnulib/lib/exclude.c,163,128
/src/gnulib-cvs/gnulib/lib/exclude.c,100,88
/src/gnulib-cvs/gnulib/lib/exclude.c,160,125
/src/gnulib-cvs/gnulib/lib/exclude.c,135,141
/src/gnulib-cvs/gnulib/lib/exclude.c,200,192
/src/find/find.c,734,734
/src/find/find.c,1337,1337
/src/find/find.c,157,157
/src/find/find.c,170,170
/src/find/find.c,638,638
/src/find/find.c,157,157
/src/find/find.c,498,498
/src/find/find.c,230,230
/src/find/find.c,498,498
/src/find/find.c,498,498
/src/find/find.c,498,498
/src/find/find.c,453,453
/src/find/find.c,1241,1241
/src/find/find.c,440,440
/src/find/find.c,749,749
/src/find/find.c,453,453
/src/find/find.c,776,776
/src/find/find.c,1214,1214
/src/find/find.c,1245,1245
/src/find/find.c,498,498
/src/find/find.c,1337,1337
/src/find/find.c,1243,1243
/src/find/find.c,498,498
/src/gnulib-cvs/gnulib/lib/javacomp.c,199,1049
/src/gnulib-cvs/gnulib/lib/javacomp.c,82,1569
/src/lib/listfile.c,409,409
/src/lib/listfile.c,409,409
/src/gnulib-cvs/gnulib/lib/findprog.c,40,37
/src/gnulib-cvs/gnulib/lib/regcomp.c,3359,3427
/src/gnulib-cvs/gnulib/lib/regcomp.c,3617,3696
/src/gnulib-cvs/gnulib/lib/regcomp.c,3354,3422
/src/gnulib-cvs/gnulib/lib/regcomp.c,3357,3425
/src/gnulib-cvs/gnulib/lib/regcomp.c,3357,3425
/src/gnulib-cvs/gnulib/lib/regcomp.c,2574,2622
/src/gnulib-cvs/gnulib/lib/regcomp.c,3359,3427
/src/gnulib-cvs/gnulib/lib/regcomp.c,3745,3824
/src/gnulib-cvs/gnulib/lib/regcomp.c,3745,3824
/src/gnulib-cvs/gnulib/lib/regcomp.c,3354,3422
/src/gnulib-cvs/gnulib/lib/regcomp.c,3347,3415
/src/gnulib-cvs/gnulib/lib/mountlist.c,794,862
/src/gnulib-cvs/gnulib/lib/getpass.c,89,89
/src/gnulib-cvs/gnulib/lib/getpass.c,89,89
/src/gnulib-cvs/gnulib/lib/getpass.c,90,90
/src/gnulib/lib/fnmatch_loop.c,1098,1098
/src/gnulib/lib/fnmatch_loop.c,1151,1151
/src/gnulib/lib/fnmatch_loop.c,1136,1136
/src/gnulib/lib/fnmatch_loop.c,827,827
/src/gnulib/lib/fnmatch_loop.c,1106,1106
/src/gnulib/lib/fnmatch_loop.c,1114,1114
/src/gnulib/lib/fnmatch_loop.c,754,754
/src/gnulib/lib/fnmatch_loop.c,827,827
/src/gnulib/lib/fnmatch_loop.c,754,754
/src/gnulib/lib/fnmatch_loop.c,1160,1160
/src/gnulib-cvs/gnulib/lib/regex_internal.c,481,488
/src/gnulib-cvs/gnulib/lib/regex_internal.c,203,210
/src/gnulib-cvs/gnulib/lib/regex_internal.c,632,645
/src/gnulib-cvs/gnulib/lib/regex_internal.c,360,367
/src/gnulib-cvs/gnulib/lib/regex_internal.c,1324,1343
/src/gnulib-cvs/gnulib/lib/regex_internal.c,220,227
/src/gnulib-cvs/gnulib/lib/regex_internal.c,483,490
/src/gnulib-cvs/gnulib/lib/regex_internal.c,829,860
/src/gnulib-cvs/gnulib/lib/regex_internal.c,205,212
/src/gnulib-cvs/gnulib/lib/regex_internal.c,1324,1343
/src/gnulib-cvs/gnulib/lib/mkstemp-safer.c,34,38
/src/xargs/xargs.c,374,345
/src/xargs/xargs.c,335,306
/src/xargs/xargs.c,321,292
/src/xargs/xargs.c,693,678
/src/xargs/xargs.c,334,305
/src/xargs/xargs.c,664,649
/src/xargs/xargs.c,664,649
/src/xargs/xargs.c,374,345
/src/xargs/xargs.c,721,706
/src/xargs/xargs.c,610,596
/src/xargs/xargs.c,764,749
/src/xargs/xargs.c,335,306
/src/xargs/xargs.c,367,338
/src/xargs/xargs.c,892,877
/src/xargs/xargs.c,890,875
/src/xargs/xargs.c,334,305
/src/xargs/xargs.c,738,723
/src/xargs/xargs.c,411,382
/src/xargs/xargs.c,610,596
/src/gnulib-cvs/gnulib/lib/openat.c,148,78
/src/gnulib-cvs/gnulib/lib/progreloc.c,288,355
/src/gnulib-cvs/gnulib/lib/progreloc.c,256,294
/src/gnulib/lib/regcomp.c,3745,3824
/src/gnulib/lib/regcomp.c,3354,3422
/src/gnulib/lib/regcomp.c,3357,3425
/src/gnulib/lib/regcomp.c,3617,3696
/src/gnulib/lib/regcomp.c,3745,3824
/src/gnulib/lib/regcomp.c,2574,2622
/src/gnulib/lib/regcomp.c,3359,3427
/src/gnulib/lib/regcomp.c,3359,3427
/src/gnulib/lib/regcomp.c,3354,3422
/src/gnulib/lib/regcomp.c,3357,3425
/src/gnulib/lib/regcomp.c,3347,3415
/src/gnulib-cvs/gnulib/lib/nanosleep.c,79,102
/src/gnulib/lib/fts.c,1293,1396
/src/gnulib/lib/fts.c,354,448
/src/gnulib-cvs/gnulib/lib/getusershell.c,89,81
/src/gnulib-cvs/gnulib/lib/getusershell.c,131,123
/src/gnulib-cvs/gnulib/lib/getusershell.c,121,113
/src/gnulib-cvs/gnulib/lib/setenv.c,135,135
/src/gnulib-cvs/gnulib/lib/chown.c,43,46
/src/gnulib/lib/__fpending.h,9,29
/src/gnulib/lib/__fpending.h,9,29
/src/gnulib-cvs/gnulib/lib/csharpcomp.c,333,347
/src/gnulib-cvs/gnulib/lib/csharpcomp.c,462,476
/src/gnulib/lib/strtol.c,338,330
/src/gnulib/lib/strtol.c,338,330
/src/gnulib/lib/strtol.c,301,293
/src/gnulib/lib/strtol.c,301,293
/src/gnulib-cvs/gnulib/lib/sig2str.c,281,281
/src/gnulib-cvs/gnulib/lib/sig2str.c,289,289
/src/gnulib-cvs/gnulib/lib/sig2str.c,281,281
/src/gnulib-cvs/gnulib/lib/sig2str.c,305,305
/src/gnulib-cvs/gnulib/lib/sig2str.c,280,280
/src/gnulib-cvs/gnulib/lib/sig2str.c,283,283
/src/gnulib-cvs/gnulib/lib/sig2str.c,289,289
/src/gnulib-cvs/gnulib/lib/sig2str.c,283,283
/src/gnulib-cvs/gnulib/lib/sig2str.c,280,280
/src/gnulib-cvs/gnulib/lib/sig2str.c,283,283
/src/gnulib-cvs/gnulib/lib/sig2str.c,280,280
/src/gnulib-cvs/gnulib/lib/sig2str.c,281,281
/src/gnulib-cvs/gnulib/lib/sig2str.c,289,289
/src/gnulib-cvs/gnulib/lib/sig2str.c,316,316
/src/gnulib-cvs/gnulib/lib/regexec.c,1675,1716
/src/gnulib-cvs/gnulib/lib/regexec.c,3035,3085
/src/gnulib-cvs/gnulib/lib/regexec.c,3035,3085
/src/gnulib-cvs/gnulib/lib/regexec.c,2244,2288
/src/gnulib-cvs/gnulib/lib/regexec.c,3972,4028
/src/gnulib-cvs/gnulib/lib/regexec.c,3080,3130
/src/gnulib-cvs/gnulib/lib/regexec.c,1659,1700
/src/gnulib-cvs/gnulib/lib/regexec.c,1659,1700
/src/gnulib-cvs/gnulib/lib/regexec.c,3080,3130
/src/gnulib-cvs/gnulib/lib/regexec.c,3035,3085
/src/gnulib-cvs/gnulib/lib/regexec.c,1675,1716
/src/gnulib-cvs/gnulib/lib/regexec.c,1675,1716
/src/gnulib-cvs/gnulib/lib/regexec.c,3030,3080
/src/gnulib-cvs/gnulib/lib/regexec.c,1659,1700
/src/gnulib-cvs/gnulib/lib/regexec.c,3030,3080
/src/gnulib-cvs/gnulib/lib/regexec.c,3080,3130
/src/find/util.c,208,231
/src/find/util.c,201,224
/src/find/util.c,458,481
/src/find/util.c,593,621
/src/find/util.c,208,231
/src/find/util.c,419,442
/src/find/util.c,203,226
/src/find/util.c,206,229
/src/find/util.c,201,224
/src/find/util.c,458,481
/src/find/util.c,211,234
/src/find/util.c,458,481
/src/find/util.c,203,226
/src/gnulib-cvs/gnulib/tests/test-tls.c,210,209
/src/gnulib-cvs/gnulib/lib/execute.c,153,150
/src/gnulib-cvs/gnulib/lib/execute.c,242,239
/src/gnulib-cvs/gnulib/lib/execute.c,153,150
/src/gnulib-cvs/gnulib/lib/execute.c,221,218
/src/gnulib-cvs/gnulib/lib/execute.c,151,148
/src/gnulib-cvs/gnulib/lib/execute.c,218,215
/src/gnulib-cvs/gnulib/lib/execute.c,219,216
/src/gnulib-cvs/gnulib/lib/execute.c,151,148
/src/gnulib-cvs/gnulib/lib/execute.c,221,218
/src/gnulib-cvs/gnulib/lib/execute.c,150,147
/src/gnulib-cvs/gnulib/lib/execute.c,158,155
/src/gnulib-cvs/gnulib/lib/execute.c,219,216
/src/gnulib-cvs/gnulib/lib/execute.c,242,239
/src/gnulib-cvs/gnulib/lib/execute.c,150,147
/src/gnulib-cvs/gnulib/lib/execute.c,158,155
/src/gnulib-cvs/gnulib/lib/execute.c,218,215
/src/find/ftsfind.c,240,242
/src/find/ftsfind.c,293,295
