File,Source Line,Destination Line
/src/gnulib-cvs/gnulib/lib/sinl.c,59,60
/src/gnulib-cvs/gnulib/lib/sinl.c,57,58
/src/gnulib-cvs/gnulib/lib/unistr/u8-prev.c,26,26
/src/gnulib-cvs/gnulib/tests/test-striconveh.c,54,64
/src/gnulib-cvs/gnulib/tests/test-striconveh.c,55,65
/src/gnulib-cvs/gnulib/tests/test-striconveh.c,53,63
/src/gnulib-cvs/gnulib/tests/test-striconveh.c,55,65
/src/gnulib-cvs/gnulib/tests/test-striconveh.c,51,61
/src/gnulib-cvs/gnulib/tests/test-striconveh.c,53,63
/src/gnulib-cvs/gnulib/tests/test-striconveh.c,54,64
/src/gnulib-cvs/gnulib/tests/test-striconveh.c,51,61
/src/gnulib-cvs/gnulib/tests/uniconv/test-u16-strconv-to-enc.c,36,46
/src/gnulib-cvs/gnulib/tests/uniconv/test-u16-strconv-to-enc.c,38,48
/src/gnulib-cvs/gnulib/tests/uniconv/test-u16-strconv-to-enc.c,38,48
/src/gnulib-cvs/gnulib/tests/uniconv/test-u16-strconv-to-enc.c,36,46
/src/gnulib/lib/regexec.c,3130,3131
/src/gnulib/lib/regexec.c,4028,4029
/src/gnulib/lib/regexec.c,2288,2289
/src/gnulib/lib/regexec.c,1700,1701
/src/gnulib/lib/regexec.c,1716,1717
/src/gnulib/lib/regexec.c,3130,3131
/src/gnulib/lib/regexec.c,755,756
/src/gnulib/lib/regexec.c,3080,3081
/src/gnulib/lib/regexec.c,1716,1717
/src/gnulib/lib/regexec.c,1700,1701
/src/gnulib/lib/regexec.c,3080,3081
/src/gnulib/lib/regexec.c,3085,3086
/src/gnulib/lib/regexec.c,844,845
/src/gnulib/lib/regexec.c,1716,1717
/src/gnulib/lib/regexec.c,3085,3086
/src/gnulib/lib/regexec.c,3130,3131
/src/gnulib/lib/regexec.c,1700,1701
/src/gnulib/lib/regexec.c,3085,3086
/src/gnulib-cvs/gnulib/lib/utimens.c,43,43
/src/gnulib-cvs/gnulib/lib/utimens.c,42,43
/src/gnulib-cvs/gnulib/lib/utimens.c,42,43
/src/gnulib-cvs/gnulib/lib/utimens.c,43,43
/src/gnulib-cvs/gnulib/tests/test-allocsa.c,35,33
/src/gnulib-cvs/gnulib/tests/test-allocsa.c,35,33
/src/lib/buildcmd.c,172,189
/src/lib/buildcmd.c,376,401
/src/lib/buildcmd.c,273,326
/src/lib/buildcmd.c,276,329
/src/lib/buildcmd.c,376,401
/src/lib/buildcmd.c,373,398
/src/lib/buildcmd.c,172,189
/src/lib/buildcmd.c,172,189
/src/lib/buildcmd.c,172,189
/src/lib/buildcmd.c,273,326
/src/lib/buildcmd.c,373,398
/src/lib/buildcmd.c,373,398
/src/lib/buildcmd.c,172,189
/src/lib/buildcmd.c,172,189
/src/lib/buildcmd.c,376,401
/src/lib/buildcmd.c,276,329
/src/gnulib-cvs/gnulib/lib/poll.c,51,56
/src/gnulib-cvs/gnulib/tests/uniconv/test-u8-strconv-from-enc.c,36,46
/src/gnulib-cvs/gnulib/tests/uniconv/test-u8-strconv-from-enc.c,38,48
/src/gnulib-cvs/gnulib/tests/uniconv/test-u8-strconv-from-enc.c,38,48
/src/gnulib-cvs/gnulib/tests/uniconv/test-u8-strconv-from-enc.c,36,46
/src/gnulib-cvs/gnulib/tests/test-c-strcasestr.c,86,96
/src/gnulib-cvs/gnulib/tests/test-c-strcasestr.c,61,71
/src/gnulib-cvs/gnulib/tests/test-c-strcasestr.c,88,98
/src/gnulib-cvs/gnulib/tests/test-c-strcasestr.c,63,73
/src/gnulib-cvs/gnulib/lib/unistr/u8-chr.c,28,26
/src/gnulib-cvs/gnulib/lib/gc-libgcrypt.c,391,391
/src/find/tree.c,1477,1425
/src/find/tree.c,271,277
/src/find/tree.c,1272,1194
/src/find/tree.c,101,105
/src/find/tree.c,1214,1132
/src/find/tree.c,1276,1198
/src/find/tree.c,101,105
/src/find/tree.c,271,277
/src/find/tree.c,676,657
/src/find/tree.c,1214,1132
/src/find/tree.c,301,307
/src/find/tree.c,1477,1425
/src/find/tree.c,271,277
/src/find/tree.c,271,277
/src/find/tree.c,1214,1132
/src/find/find.c,1304,1357
/src/find/find.c,1241,1291
/src/find/find.c,794,823
/src/find/find.c,1304,1357
/src/find/find.c,498,521
/src/find/find.c,440,462
/src/find/find.c,1337,1390
/src/find/find.c,776,805
/src/find/find.c,1304,1357
/src/find/find.c,926,966
/src/find/find.c,498,521
/src/find/find.c,498,521
/src/find/find.c,926,966
/src/find/find.c,638,667
/src/find/find.c,1153,1194
/src/find/find.c,498,521
/src/find/find.c,453,476
/src/find/find.c,734,763
/src/find/find.c,926,966
/src/find/find.c,926,966
/src/find/find.c,498,521
/src/find/find.c,926,966
/src/find/find.c,1243,1293
/src/find/find.c,1304,1357
/src/find/find.c,926,966
/src/find/find.c,1153,1194
/src/find/find.c,1304,1357
/src/find/find.c,498,521
/src/find/find.c,1245,1295
/src/find/find.c,170,183
/src/find/find.c,1214,1257
/src/find/find.c,1337,1390
/src/find/find.c,1304,1357
/src/find/find.c,749,778
/src/find/find.c,453,476
/src/find/find.c,598,627
/src/find/find.c,230,252
/src/gnulib-cvs/gnulib/lib/javacomp.c,1444,1444
/src/gnulib-cvs/gnulib/lib/javacomp.c,1328,1328
/src/gnulib-cvs/gnulib/lib/javacomp.c,2071,2071
/src/gnulib-cvs/gnulib/lib/javacomp.c,522,522
/src/gnulib-cvs/gnulib/lib/findprog.c,35,35
/src/gnulib-cvs/gnulib/lib/unistr/u16-prev.c,26,26
/src/gnulib-cvs/gnulib/lib/getpass.c,92,92
/src/gnulib-cvs/gnulib/lib/getpass.c,92,92
