File,Source Line,Destination Line
/src/lib/forcefindlib.c,44,44
/src/lib/buildcmd.c,456,446
/src/lib/buildcmd.c,456,446
/src/lib/buildcmd.c,456,446
/src/lib/buildcmd.c,453,443
/src/lib/buildcmd.c,453,443
/src/lib/buildcmd.c,453,443
/src/tests/anytostr.c,41,39
/src/tests/anytostr.c,41,39
/src/gnulib/lib/fnmatch_loop.c,1126,1126
/src/gnulib/lib/fnmatch_loop.c,1164,1164
/src/gnulib/lib/fnmatch_loop.c,855,855
/src/gnulib/lib/fnmatch_loop.c,1134,1134
/src/gnulib/lib/fnmatch_loop.c,701,701
/src/gnulib/lib/fnmatch_loop.c,1188,1188
/src/gnulib/lib/fnmatch_loop.c,782,782
/src/gnulib/lib/fnmatch_loop.c,1142,1142
/src/gnulib/lib/fnmatch_loop.c,1179,1179
/src/gnulib/lib/fnmatch_loop.c,855,855
/src/gnulib/lib/fnmatch_loop.c,782,782
/src/tests/test-inttostr.c,91,87
/src/tests/test-inttostr.c,87,83
/src/tests/test-inttostr.c,91,87
/src/tests/test-inttostr.c,87,83
/src/tests/test-fopen.h,37,37
/src/tests/test-fopen.h,52,52
/src/tests/test-fopen.h,47,47
/src/tests/test-fopen.h,58,58
/src/find/ftsfind.c,530,530
/src/tests/test-strstr.c,119,118
/src/tests/test-strstr.c,143,142
/src/tests/test-strstr.c,65,64
/src/tests/test-strstr.c,73,72
/src/tests/test-strstr.c,117,116
/src/tests/test-strstr.c,141,140
/src/tests/test-strstr.c,73,72
/src/tests/test-strstr.c,65,64
/src/tests/test-strstr.c,73,72
/src/tests/test-strstr.c,65,64
/src/gnulib/lib/mktime.c,134,134
/src/gnulib/lib/mktime.c,135,135
/src/gnulib/lib/mktime.c,80,80
/src/gnulib/lib/mktime.c,135,135
/src/gnulib/lib/mktime.c,142,142
/src/gnulib/lib/mktime.c,142,142
/src/gnulib/lib/mktime.c,80,80
/src/gnulib/lib/mktime.c,203,203
/src/gnulib/lib/mktime.c,134,134
/src/gnulib/lib/mktime.c,260,260
/src/gnulib/lib/mktime.c,203,203
/src/gnulib/lib/mktime.c,260,260
/src/tests/test-verify.c,51,51
/src/tests/test-verify.c,55,55
/src/tests/test-verify.c,51,51
/src/tests/test-verify.c,55,55
/src/tests/test-verify.c,58,58
/src/tests/test-verify.c,58,58
/src/tests/test-verify.c,51,51
/src/tests/test-getopt.h,975,975
/src/tests/test-getopt.h,975,975
/src/tests/test-getopt.h,86,86
/src/tests/test-getopt.h,972,972
/src/tests/test-getopt.h,86,86
/src/tests/test-getopt.h,92,92
/src/tests/test-getopt.h,972,972
/src/tests/test-getopt.h,92,92
/src/gnulib/lib/getopt1.c,87,87
/src/gnulib/lib/memchr.c,95,95
/src/gnulib/lib/memchr.c,95,95
/src/gnulib/lib/memchr.c,95,95
/src/gnulib/lib/isnan.c,80,80
/src/gnulib/lib/isnan.c,80,80
/src/tests/test-strnlen.c,34,34
/src/tests/test-strnlen.c,34,34
/src/tests/test-strnlen.c,35,35
/src/tests/test-strnlen.c,34,34
/src/tests/test-strnlen.c,35,35
/src/tests/test-strnlen.c,35,35
/src/find/tree.c,1249,1255
/src/find/tree.c,693,698
/src/find/tree.c,1253,1259
/src/find/find.c,116,171
/src/find/find.c,246,301
/src/find/find.c,456,511
/src/find/find.c,1247,1312
/src/locate/code.c,161,165
/src/gnulib/lib/str-two-way.h,360,360
/src/gnulib/lib/str-two-way.h,411,411
/src/tests/test-getline.c,84,84
/src/tests/test-getline.c,84,84
/src/tests/test-fnmatch.c,37,37
/src/tests/test-fnmatch.c,45,45
/src/tests/test-fnmatch.c,33,33
/src/tests/test-fnmatch.c,41,41
/src/tests/test-fnmatch.c,40,40
/src/tests/test-fnmatch.c,53,53
/src/tests/test-fnmatch.c,38,38
/src/tests/test-fnmatch.c,39,39
/src/tests/test-fnmatch.c,35,35
/src/tests/test-fnmatch.c,36,36
/src/tests/test-fnmatch.c,46,46
/src/tests/test-fnmatch.c,43,43
/src/tests/test-fnmatch.c,47,47
/src/tests/fdopen.c,38,38
/src/tests/fdopen.c,38,38
/src/tests/fdopen.c,42,42
/src/tests/fdopen.c,42,42
/src/tests/nan.h,27,27
/src/tests/nan.h,59,59
/src/tests/nan.h,66,66
/src/tests/nan.h,27,27
/src/tests/nan.h,43,43
/src/tests/nan.h,43,43
